sep=,
Result 3|time [s] Case 1,Result 3|weaDat.weaBus.TDryBul Case 1,Result 3|zonHVAC.TAir [K] Case 1,Result 1|time [s] Case 1,Result 1|weaDat.weaBus.TDryBul Case 1,Result 1|zonHVAC.TAir [K] Case 1
701740.8,264.8411166976,275.4582827313207,701740.8,264.8411166976,270.76843842407504
704419.2000000001,264.84999999999997,275.36634136514283,704419.2000000001,264.84999999999997,270.7150397074436
707097.6,264.84999999999997,275.27180047466686,707097.6,264.84999999999997,270.65577324896816
709776,264.84999999999997,275.17867156464206,709776,264.84999999999997,270.5977339053805
712454.4,264.84999999999997,275.0869915112138,712454.4,264.84999999999997,270.5409244540747
715132.8,265.1475408640001,275.00995659421625,715132.8,265.1475408640001,270.5096453268944
717811.2000000001,265.306266226726,274.9597213114158,717811.2000000001,265.306266226726,270.5075033592803
720000,265.34999999999997,274.97296924055775,720000,265.34999999999997,270.54274603395436
720000,265.34999999999997,274.97296924055775,720000,265.34999999999997,270.54274603395436
720489.6,265.5438022692578,274.8670783060419,720489.6,265.5438022692578,270.45088317996687
723168,267.3085682285714,275.0590830653156,723168,267.3085682285714,270.7574929173657
725846.4,268.64770300342786,275.4435400066514,725846.4,268.64770300342786,271.23794013195106
728524.8,269.68012752640016,275.81636008018575,728524.8,269.68012752640016,271.6937473188735
731203.2000000001,270.54589292799955,276.22702027004453,731203.2000000001,270.54589292799955,272.17393071508195
733881.6,272.31771801600075,276.7526794873463,733881.6,272.31771801600075,272.8107597857403
736560,273.2848571428571,277.2783773345088,736560,273.2848571428571,273.4204416515009
739238.4,274.2215455024756,277.73110666032755,739238.4,274.2215455024756,273.9520558262069
741916.8,274.84999999999997,278.1443891677236,741916.8,274.84999999999997,274.44123851479424
744595.2000000001,274.84999999999997,278.4856984415537,744595.2000000001,274.84999999999997,274.8217792147832
747273.6,274.84999999999997,278.65279668129386,747273.6,274.84999999999997,275.0326822505506
749952,274.4391712,278.667476147111,749952,274.4391712,275.08608824259125
752630.4,273.15,278.5255485427393,752630.4,273.15,274.9245254201749
