sep=,
Result 1|time [s] Case 1,Result 1|heatEnergy.y Case 1
1015200,876.2252003061791
1017792,878.5065904807918
1020470.4,881.3048810658989
1023148.8,884.338377690369
1025827.2000000001,887.506564488393
1028505.6000000001,890.7281224582239
1031184,893.9724873911741
1033862.4,897.239666993626
1036540.8,900.7631146087073
1036800,901.1201473896721
1036800,901.1201473896721
1039219.2000000001,904.407683713005
1041897.6000000001,907.9714663225036
1044576,911.4808485690743
1047254.4,915.0154874311112
1049932.8,918.5901024085999
1052611.2,922.1462295626766
1055289.6,925.8600126041217
1057968,929.57896620254
1060646.4000000001,933.2634592359382
1063324.8,936.9063941717832
1065600,939.8220481468844
1065600,939.8220481468844
1066003.2,940.3503439698293
1068681.6,943.3872083894286
1071360,945.3181916745956
1074038.4000000001,946.2284110749889
1076132.5117487188,946.417607329391
1076132.5117487188,946.417607329391
1076136.33637011,946.417607329391
1076136.33637011,946.417607329391
1076716.8,946.417607329391
1079395.2,946.417607329391
1082073.6,946.417607329391
1084752,946.417607329391
1087430.4000000001,946.4251975881679
1090108.8,946.7229620480593
1092787.2,947.8077263869416
1095465.6,949.7958135883125
1098144,952.4019693844276
1100822.4000000001,955.3923025547942
1101600,956.2892410696126
1101600,956.2892410696126
1103500.8,958.2622916864068
1106179.2,961.2547988464756
1108857.6,964.1241256092588
1111536,966.9632558938985
1114214.4000000001,969.8706067650538
1116892.8,972.757444665364
1119571.2,975.6866034000535
1122249.6,978.6531516945155
1123200,979.7123488707912
1123200,979.7123488707912
1124928,981.653712602206
1127606.4000000001,984.7524884450983
1130284.8,987.9527898330185
1132963.2,990.9852608485821
1135641.6,993.482902263658
1138320,996.03050938231
1140998.4000000001,998.8856256919364
1143676.8,1001.9851475577779
1146355.2,1005.0909200311737
1149033.6,1007.9976748783381
1151712,1010.6715579320323
1152000,1010.9419636101742
1152000,1010.9419636101742
1154390.4000000001,1013.519139127498
1157068.8,1016.3669244933133
1159747.2,1018.9733762049838
