sep=,
Result 3|time [s] Case 1,Result 3|weaDat.weaBus.TDryBul Case 1,Result 3|zonHVAC.TAir [K] Case 1,Result 1|time [s] Case 1,Result 1|weaDat.weaBus.TDryBul Case 1,Result 1|zonHVAC.TAir [K] Case 1,Result 1|time [s] Case 1,Result 1|weaDat.weaBus.TDryBul Case 1,Result 1|zonHVAC.TAir [K] Case 1
2209680,262.54999999999995,278.8286116991404,2209680,262.54999999999995,274.7830168746592,2065046.4000000001,274.84999999999997,293.1497150567123
2212358.4,262.4062490880002,278.6800582116021,2212358.4,262.4062490880002,274.61457740712206,2067724.8,274.84999999999997,293.1498080893832
2215036.8000000003,261.5256845951995,278.54244144621606,2215036.8000000003,261.5256845951995,274.4291617768264,2070403.2000000002,274.86437314327264,293.15004565119546
2217715.2,259.8130281728002,278.358288768439,2217715.2,259.8130281728002,274.1389995564743,2073081.6,275.2931054429093,293.1505276763827
2220393.6,259.0022636629329,278.1520650498375,2220393.6,259.0022636629329,273.86610936659656,2073600,275.34999999999997,293.1502588240368
2223072,258.11767999999995,277.82289552368826,2223072,258.11767999999995,273.4743864840463,2073600,275.34999999999997,293.1502588240368
2224800,257.54999999999995,277.60283694427875,2224800,257.54999999999995,273.2128419709705,2075760,275.3507700534759,293.1496940925583
2224800,257.54999999999995,277.60283694427875,2224800,257.54999999999995,273.2128419709705,2078438.4000000001,275.57354894693066,293.1510313331583
2225750.4,257.3501490432002,277.67033640455304,2225750.4,257.3501490432002,273.2538584921731,2081116.8,275.9092766171427,293.1491524058349
2228428.8000000003,257.0431522559998,277.42927372725086,2228428.8000000003,257.0431522559998,272.96828997972585,2083795.2000000002,275.4470726400001,293.14915798597445
2231107.2,256.19930150400023,277.1337425912166,2231107.2,256.19930150400023,272.6091179044794,2086473.6,275.07060598857123,293.14947228570617
2233785.6,255.59765350399974,276.8362915599325,2233785.6,255.59765350399974,272.2524086502774,2089152,274.58499675031055,293.1489016824123
2236464,255.31689439999997,276.5537795959467,2236464,255.31689439999997,271.925929413152,2091830.4000000001,273.6595483347484,293.1486227152316
2239142.4,255.35841674240018,276.2964323078486,2239142.4,255.35841674240018,271.6455137632715,2094508.8,272.17651468354757,293.1487333204307
2241820.8000000003,254.51935898879972,275.9964331253776,2241820.8000000003,254.51935898879972,271.2858883707804,2097187.2,272.04999999999995,293.1504870397503
2244499.2,253.95992012800008,275.6919271652588,2244499.2,253.95992012800008,270.92406660253863,2099865.6,272.04999999999995,293.15103471276643
2246400,253.74999999999997,275.4864758807568,2246400,253.74999999999997,270.6882688625954,2102400,272.04999999999995,293.1505288707267
2246400,253.74999999999997,275.4864758807568,2246400,253.74999999999997,270.6882688625954,2102400,272.04999999999995,293.1505288707267
2247177.6,253.7267844770909,275.405241328859,2247177.6,253.7267844770909,270.59723077053434,2102544,272.04999999999995,293.1198080399135
2249856,253.7596698181818,275.1391290508181,2249856,253.7596698181818,270.3079674184916,2105222.4,272.04999999999995,293.1531184440796
2252534.4,253.25976532480024,274.8503542069709,2252534.4,253.25976532480024,269.9754571256847,2107900.8000000003,272.04999999999995,293.1538740718555
2255212.8000000003,253.14999999999998,274.57132645639814,2255212.8000000003,253.14999999999998,269.66405979032794,2110579.2,271.9571352832001,293.1486752216252
2257891.2,253.14999999999998,274.3072745754212,2257891.2,253.14999999999998,269.3787998932776,2113257.6,271.4452767999999,293.1499783616777
2260569.6,253.14999999999998,274.0474106119391,2260569.6,253.14999999999998,269.09966241852715,2115936,271.39527999999996,293.15023716481056
2263248,253.14999999999998,273.79158676859305,2263248,253.14999999999998,268.8264670274023,2118614.4,271.7907975423996,293.15077766221305
2265926.4,252.72443425280065,273.5245917324012,2265926.4,252.72443425280065,268.5305975935844,2121292.8000000003,272.04999999999995,293.15006243983856
2268604.8000000003,252.04999999999998,273.2187412279798,2268604.8000000003,252.04999999999998,268.16871143624763,2123971.2,272.04999999999995,293.15512029874077
2271283.2,252.04999999999998,272.9779193224596,2271283.2,252.04999999999998,267.9097530295302,2126649.6,272.04999999999995,293.1522469360245
2273961.6,252.04999999999998,272.9430102296875,2273961.6,252.04999999999998,267.85108035923304,2129328,271.86101778823524,293.1482906491874
2275200,252.04999999999998,273.0377229597755,2275200,252.04999999999998,267.92928660106577,2132006.4,271.2551715736823,293.1459413158253
2275200,252.04999999999998,273.0377229597755,2275200,252.04999999999998,267.92928660106577,2134684.8000000003,270.3916287010019,293.14569873771507
2276640,252.2788,273.0275844218908,2276640,252.2788,267.91169384652164,2137363.2,268.51533207040046,293.1455698194206
2279318.4,253.4221907583991,273.5069522233429,2279318.4,253.4221907583991,268.395881800683,2138400,268.15,293.14852496979296
2281996.8000000003,255.16426318720036,274.13184081556676,2281996.8000000003,255.16426318720036,269.0567873338743,2138400,268.15,293.14852496979296
2284675.2,256.12514799999974,274.78293575924664,2284675.2,256.12514799999974,269.71492397127975,2140041.6,268.15,293.1489194452651
2287353.6,256.6846916800002,275.4027357785733,2287353.6,256.6846916800002,270.3208266213716,2142720,268.15,293.1492724047865
2290032,257.156392,275.9617056923757,2290032,257.156392,270.859405846797,2145398.4,268.15,293.1495053794858
2292710.4,258.0456684159996,276.52586213153154,2292710.4,258.0456684159996,271.42537055253695,2148076.8000000003,268.15,293.14966636414863
2295388.8000000003,258.2623151390117,277.0210609612282,2295388.8000000003,258.2623151390117,271.8999297827584,2150755.2,268.15,293.149769627099
2298067.2,257.9569618085648,277.3450525754104,2298067.2,257.9569618085648,272.17919298132017,2153433.6,268.15,293.14984667083417
2300745.6,257.52076483723624,277.52864527559706,2300745.6,257.52076483723624,272.31203045066775,2156112,268.15,293.14989591025517
2303424,257.6083540363636,277.6346766068173,2303424,257.6083540363636,272.39372999710463,2158790.4,267.4541312496947,293.1481621672703
2306102.4,256.6134797614554,277.4441230685775,2306102.4,256.6134797614554,272.15137979366835,2160000,267.04999999999995,293.1490042433063
2308780.8000000003,255.68388517934528,277.08342888845243,2308780.8000000003,255.68388517934528,271.72986092289545,2160000,267.04999999999995,293.1490042433063
2311200,255.34999999999997,276.7728473659022,2311200,255.34999999999997,271.3924875105215,2161468.8000000003,266.75040258559983,293.1493633954171
2311200,255.34999999999997,276.7728473659022,2311200,255.34999999999997,271.3924875105215,2164147.2,266.42560551131425,293.15012551960416
2311459.2,255.3385009664,276.82900774520056,2311459.2,255.3385009664,271.44614664099174,2166825.6,266.48287531519986,293.149997665077
2314137.6,255.36744673279998,276.6731241129993,2314137.6,255.36744673279998,271.2700581847846,2169504,266.14026151260504,293.1495239550216
2316816,254.9888933333333,276.39446308811205,2316816,254.9888933333333,270.96658400835287,2172182.4,265.71431413609434,293.1493915482894
2319494.4,254.97343615999978,276.12045055030666,2319494.4,254.97343615999978,270.675244537869,2174860.8000000003,265.331162419677,293.1501596777253
2322172.8000000003,255.3784846976001,275.8843577196018,2322172.8000000003,255.3784846976001,270.44985936166773,2177539.2,265.88897321262095,293.15101480056296
2324851.2,255.90219760639988,275.6666836331415,2324851.2,255.90219760639988,270.25341811707193,2180217.6,266.0634917542956,293.1499917336931
2327529.6,255.95,275.4357382890004,2327529.6,255.95,270.0267795863329,2182896,265.60089317647055,293.14855196361407
2330208,255.95,275.2018889983574,2330208,255.95,269.79333151251774,2185574.4,264.7699586243768,293.1494634135917
2332800,255.95,274.9789842208155,2332800,255.95,269.5721147939343,2188252.8000000003,264.30495141195286,293.1500676174873
2332800,255.95,274.9789842208155,2332800,255.95,269.5721147939343,2188800,264.25,293.1502853802887
2332886.4,255.95,274.9716249355134,2332886.4,255.95,269.56482912673783,2188800,264.25,293.1502853802887
2335564.8000000003,255.95,274.7450513158032,2335564.8000000003,255.95,269.3412514247428,2190931.2,264.2817171273142,293.15158225591216
2338243.2,255.95,274.52188350047385,2338243.2,255.95,269.1223083322132,2193609.6,264.1000777983998,293.15096015378396
2340921.6,255.95,274.30216974417186,2340921.6,255.95,268.9080046745682,2196288,263.702,293.1509487811263
2343600,255.95,274.08590923104316,2343600,255.95,268.6982603276354,2198966.4,263.25560000000024,293.15044596602013
2346278.4,256.36847321599976,273.89342733913776,2346278.4,256.36847321599976,268.53052563996687,2201644.8000000003,262.76738792959986,293.1500826531084
2348956.8000000003,256.45,273.7000388416552,2348956.8000000003,256.45,268.3552508329271,2204323.2,262.5056950016,293.15064711188825
2351635.2,256.45,273.50094120759104,2351635.2,256.45,268.1679254473987,2207001.6,262.54999999999995,293.1536463089868
2354313.6,256.45,273.30485640798827,2354313.6,256.45,267.98447344826343,2209680,262.54999999999995,293.14995333597994
2356992,256.45,273.1121669872837,2356992,256.45,267.8051765862589,2212358.4,262.4062490880002,293.14822530124127
2359670.4,256.6280523248938,272.94853148282726,2359670.4,256.6280523248938,267.6607113464833,2215036.8000000003,261.5256845951995,293.1476897237889
2361600,257.04999999999995,272.85890707649673,2361600,257.04999999999995,267.6005996067151,2217715.2,259.8130281728002,293.14838879303926
2361600,257.04999999999995,272.85890707649673,2361600,257.04999999999995,267.6005996067151,2220393.6,259.0022636629329,293.1473484190736
2362348.8000000003,257.22960889725505,272.6607188040178,2362348.8000000003,257.22960889725505,267.41937675598376,2223072,258.11767999999995,293.14746894595567
2365027.2,258.0876287288886,272.51553257187953,2365027.2,258.0876287288886,267.3398899362165,2224800,257.54999999999995,293.14805228489234
2367705.6,259.7508256893978,272.5175918544208,2367705.6,259.7508256893978,267.43810677464324,2224800,257.54999999999995,293.14805228489234
2370384,260.4150496,272.5525412268143,2370384,260.4150496,267.5481806375644,2225750.4,257.3501490432002,293.14745447054287
2373062.4,260.61277201919927,272.5362335567386,2373062.4,260.61277201919927,267.56051976043545,2228428.8000000003,257.0431522559998,293.14856208049054
2375740.8000000003,261.9774180096002,272.5973991201084,2375740.8000000003,261.9774180096002,267.7175821509747,2231107.2,256.19930150400023,293.1483893474974
2378419.2,262.3458193232841,272.66678062731586,2378419.2,262.3458193232841,267.84399884066977,2233785.6,255.59765350399974,293.14931775741246
2381097.6,263.05387816376196,272.88502486531877,2381097.6,263.05387816376196,268.1178653190292,2236464,255.31689439999997,293.1501749607011
2383776,263.8687175384615,273.04632605647345,2383776,263.8687175384615,268.35164062218354,2239142.4,255.35841674240018,293.1496010061038
2386454.4,264.2255518424614,273.01194489536715,2386454.4,264.2255518424614,268.3800456772756,2241820.8000000003,254.51935898879972,293.1486167856981
2389132.8000000003,264.22821762953845,272.9539868542133,2389132.8000000003,264.22821762953845,268.3686634099344,2244499.2,253.95992012800008,293.1496271320597
2391811.2,264.4683518114907,272.871278428033,2391811.2,264.4683518114907,268.33857199539733,2246400,253.74999999999997,293.14995721524133
2394489.6,264.8733298850909,272.79152943640844,2394489.6,264.8733298850909,268.32813417670434,2246400,253.74999999999997,293.14995721524133
2397168,264.828112,272.68822686844743,2397168,264.828112,268.27249890617827,2247177.6,253.7267844770909,293.1502583757432
2397600,264.84999999999997,272.6722407045751,2397600,264.84999999999997,268.26460872771446,2249856,253.7596698181818,293.14999985164195
2397600,264.84999999999997,272.6722407045751,2397600,264.84999999999997,268.26460872771446,2252534.4,253.25976532480024,293.14932000989484
2399846.4,265.215153000727,272.83677859201083,2399846.4,265.215153000727,268.47296475327073,2255212.8000000003,253.14999999999998,293.15020719173225
